Id,Label,Cluster
BC4LIFE,BC4LIFE,1
samsudin ali,samsudin ali,1
MASINTON PASARIBU,MASINTON PASARIBU,1
Prastowo Yustinus,Prastowo Yustinus,1
Stella K. Suwardi,Stella K. Suwardi,1
Murtadha,Murtadha,1
Ibdilillah Ishak,Ibdilillah Ishak,1
rehan,rehan,1
Supariyanto,Supariyanto,1
‌?‌‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌‌?‌‌?‌,‌?‌‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌‌?‌‌?‌,1
Leo,Leo,1
Hidri Rafeimalik,Hidri Rafeimalik,1
Singgih Dwi Putranto❤?,Singgih Dwi Putranto❤?,1
Bapake Rumi,Bapake Rumi,1
apaan neh,apaan neh,1
arie busan,arie busan,1
Tukang Push,Tukang Push,1
money,money,1
BARIKADE GUS DUR,BARIKADE GUS DUR,1
BAJINGAN TOLOL ??,BAJINGAN TOLOL ??,1
tuanku Rakyat,tuanku Rakyat,1
Kyoko Hisashi (野馬利阿),Kyoko Hisashi (野馬利阿),1
Laskar Tugiman??,Laskar Tugiman??,1
1.2.3.packs,1.2.3.packs,1
Davaryan,Davaryan,1
VICTOR S NIHIN,VICTOR S NIHIN,1
GP-MMD 2024???,GP-MMD 2024???,4
msaid_didu,msaid_didu,1
ADHIE M MASSARDI,ADHIE M MASSARDI,1
"#AyoMoveOn2024","#AyoMoveOn2024",1
candece,candece,4
ninikwafiroh,ninikwafiroh,0
officialptdi,officialptdi,7
prabowo,prabowo,2
Sabda Alam,Sabda Alam,2
Indonesian Embassy Bandar Seri Begawan,Indonesian Embassy Bandar Seri Begawan,2
Manda Azkia,Manda Azkia,2
??? ??? ?????,??? ??? ?????,2
tempo.co,tempo.co,2
Lhuta_x,Lhuta_x,2
eat!,eat!,2
Lebah Borneo Reborn,Lebah Borneo Reborn,2
zy_lestari,zy_lestari,2
key,key,2
Jansen Sitindaon,Jansen Sitindaon,2
Erick Thohir,Erick Thohir,2
"#RakyatAkalSehat","#RakyatAkalSehat",2
Herzaky Mahendra Putra,Herzaky Mahendra Putra,2
Ariza Patria,Ariza Patria,2
:),:),2
Dalang Rusuh,Dalang Rusuh,2
222 Mountains For Palestine,222 Mountains For Palestine,2
prabowoTranslat,prabowoTranslat,3
CONIL®??,CONIL®??,3
prabowogibran02,prabowogibran02,2
Artemizz_,Artemizz_,2
prima_or_id,prima_or_id,2
psi_id,psi_id,3
ridwankamil,ridwankamil,3
sociotalker,sociotalker,20
Michel Adam,Michel Adam,20
Singkong Stunting ?,Singkong Stunting ?,20
tempodotco,tempodotco,1
"?? MODAR, i ??","?? MODAR, i ??",1
tomlembong,tomlembong,6
tvOneNews,tvOneNews,13
❤️Diandra Kartini❤️????,❤️Diandra Kartini❤️????,13
telek_pitik,telek_pitik,13
yusuf_dumdum,yusuf_dumdum,1
zainul_munas,zainul_munas,0
zarryhendrik,zarryhendrik,6
Firman Manda,Firman Manda,6
