Id,Label,Cluster
YouTube,YouTube,9
YgPentingKamuBahagia,YgPentingKamuBahagia,9
ZhangKu,ZhangKu,9
Nur Hidayat Sardini,Nur Hidayat Sardini,9
TribunBanten.com,TribunBanten.com,9
Indra Charismiadji,Indra Charismiadji,9
ZUL_Hasan,ZUL_Hasan,18
DPP PAN,DPP PAN,18
Indonesia Pusaka ??????????,Indonesia Pusaka ??????????,18
_TNIAL_,_TNIAL_,7
_TNIAU,_TNIAU,7
agusjabo333,agusjabo333,2
DPW PRIMA JATENG,DPW PRIMA JATENG,2
Saya Rakyat Luar Biasa,Saya Rakyat Luar Biasa,2
aniesbaswedan,aniesbaswedan,0
Chaves,Chaves,0
b i l i ?,b i l i ?,0
ABR (Ali Basuki Rochmad),ABR (Ali Basuki Rochmad),0
Mawa Kresna ?,Mawa Kresna ?,2
Iman Sjafei ?,Iman Sjafei ?,0
Dede Budhyarto,Dede Budhyarto,1
iwakbandeng,iwakbandeng,0
Borrys Hasian,Borrys Hasian,0
Ainun Najib,Ainun Najib,6
eldi,eldi,0
Cipta Panca Laksana,Cipta Panca Laksana,0
Bang Andi | Abul Muzaffar,Bang Andi | Abul Muzaffar,0
H4th,H4th,0
Rachland Nashidik,Rachland Nashidik,0
Presiden Netizen,Presiden Netizen,1
VOICE OF PKB,VOICE OF PKB,0
Coach Axdwin?Indonesia ??,Coach Axdwin?Indonesia ??,0
Humaira_balqis,Humaira_balqis,0
0️⃣1️⃣PRESIDEN JENGGO,0️⃣1️⃣PRESIDEN JENGGO,0
S0EY0T0,S0EY0T0,5
Maria A. Alcaff,Maria A. Alcaff,0
Kaka Idho ?,Kaka Idho ?,5
RKY {RicKY Kurniawan} .S14P Perubahan & Perbaikan,RKY {RicKY Kurniawan} .S14P Perubahan & Perbaikan,0
Lambe Waras,Lambe Waras,5
PRESIDEN SPANYOL????????,PRESIDEN SPANYOL????????,0
Gilang Ahmadi,Gilang Ahmadi,0
Lorong Waktu,Lorong Waktu,2
DPP PKB,DPP PKB,5
Transisi Energi Segera,Transisi Energi Segera,2
Agus Sulardi,Agus Sulardi,0
Nicho Silalahi,Nicho Silalahi,1
404 Not Found,404 Not Found,0
Idham Arsyad,Idham Arsyad,0
Pemimpin Sipil Terkutuk,Pemimpin Sipil Terkutuk,0
Call Me : Bur ?,Call Me : Bur ?,22
King Purwa,King Purwa,0
SENAM PAGI INDONESIA SERI D,SENAM PAGI INDONESIA SERI D,1
Ayo Indonesia,Ayo Indonesia,0
K-Hard Uchukz,K-Hard Uchukz,0
LANGKAH ANIES Serius Tenang Tuntas,LANGKAH ANIES Serius Tenang Tuntas,0
Naufal Firman Yursak,Naufal Firman Yursak,0
Ari Saptono,Ari Saptono,0
Ehnak,Ehnak,0
BERITA BAIK AMIN,BERITA BAIK AMIN,0
Arsya Muhammad,Arsya Muhammad,0
?? I-smile ??,?? I-smile ??,0
N A O L,N A O L,0
AniesMuhaimin - AMIN RI1 & RI2 2024 INSYA ALLAH,AniesMuhaimin - AMIN RI1 & RI2 2024 INSYA ALLAH,0
? ? $BTC ?❤️,? ? $BTC ?❤️,0
Harian Kompas,Harian Kompas,2
Trystanto,Trystanto,0
"#ABG Asal-Bukan-Gibran?","#ABG Asal-Bukan-Gibran?",1
Jam's Ka Jrouh,Jam's Ka Jrouh,0
DPW PKB Jateng,DPW PKB Jateng,0
Amik,Amik,0
Afifah Afra,Afifah Afra,0
Juan Chaniago,Juan Chaniago,2
AntiJongosParpol?,AntiJongosParpol?,0
ajengcute16,ajengcute16,0
???????????_☝?,???????????_☝?,0
Amal Alghozali,Amal Alghozali,0
B4 K71,B4 K71,0
Hanum Salsabiela Rais,Hanum Salsabiela Rais,0
AREA JULID,AREA JULID,2
Mardani Ali Sera,Mardani Ali Sera,0
vivere,vivere,0
Maudy Asmara,Maudy Asmara,0
adeamaliaade,adeamaliaade,0
? ??? | ?? ????? ???????,? ??? | ?? ????? ???????,2
DPN BALAD AMIN,DPN BALAD AMIN,0
Dokter Tifa,Dokter Tifa,0
Haye Targaryen,Haye Targaryen,6
ayahlukman,ayahlukman,0
Grady Nagara,Grady Nagara,0
Angga PF,Angga PF,0
Sekar Izza,Sekar Izza,0
"#99","#99",1
Bijak Memilih,Bijak Memilih,2
BP™,BP™,0
t°Jabar,t°Jabar,0
Partai NasDem,Partai NasDem,0
inilahcom,inilahcom,2
Marlina ▪︎ mawar ?,Marlina ▪︎ mawar ?,0
Jamaruddin Pajjala,Jamaruddin Pajjala,0
Merry Banunaek,Merry Banunaek,0
b i l i,b i l i,0
Neo Historia Indonesia,Neo Historia Indonesia,2
macanutara_,macanutara_,0
Relawan Payung Anies Indonesia,Relawan Payung Anies Indonesia,0
MissKoraL? SA ID 0000009,MissKoraL? SA ID 0000009,0
Fadiyah Alkaff,Fadiyah Alkaff,3
giriginanjar,giriginanjar,0
Mrs. Kiky,Mrs. Kiky,0
??????,??????,0
Gus Arifin,Gus Arifin,0
Albarra_Back,Albarra_Back,0
???? ????? ?,???? ????? ?,0
bambang aribowo,bambang aribowo,0
Uwainun,Uwainun,0
??????حرفانو | Herfano,??????حرفانو | Herfano,0
Ruth N. Susanto,Ruth N. Susanto,0
maeve,maeve,0
DPW PKS Jawa Barat,DPW PKS Jawa Barat,0
Muhammad Yafidy,Muhammad Yafidy,0
01 Dena Sapari,01 Dena Sapari,0
Muhamad Isnur,Muhamad Isnur,0
vicky anggriawan,vicky anggriawan,0
Spirit FREE PALESTINE ?? ????,Spirit FREE PALESTINE ?? ????,2
pagandeng,pagandeng,0
aniesbaswedanTr,aniesbaswedanTr,3
The Conversation Indonesia,The Conversation Indonesia,3
anismatta,anismatta,4
are_inismyname,are_inismyname,8
bahlillahadalia,bahlillahadalia,2
Ophalsyah69,Ophalsyah69,2
balad_aminlpg,balad_aminlpg,0
DPW Balad Amin Lampung,DPW Balad Amin Lampung,0
bawaslu_RI,bawaslu_RI,4
sanusi,sanusi,4
Bayumaruto,Bayumaruto,4
Ku Mayaga ni ku mahoro,Ku Mayaga ni ku mahoro,4
