Id,Label,modularity_class
AgusYudhoyono,AgusYudhoyono,7
HincaPandjaitanXIII,HincaPandjaitanXIII,7
Harian Kompas,Harian Kompas,7
Yan A. Harahap (? ? ?),Yan A. Harahap (? ? ?),7
AliLubisACTA,AliLubisACTA,7
HabiburokhmanJktTimur,HabiburokhmanJktTimur,7
AnggaPutraF,AnggaPutraF,11
Spirit FREE PALESTINE ?? ????,Spirit FREE PALESTINE ?? ????,11
eldi,eldi,11
Arie_Kriting,Arie_Kriting,0
Ismail Fahmi,Ismail Fahmi,0
ArsjadRasjid,ArsjadRasjid,12
 ????? ?????, ????? ?????,12
Rizmaya,Rizmaya,12
Prasetyo Edi Marsudi,Prasetyo Edi Marsudi,8
 ????? ????? ??? ????, ????? ????? ??? ????,12
Ganjar Pranowo,Ganjar Pranowo,12
BangPino__,BangPino__,0
BurhanMuhtadi,BurhanMuhtadi,11
Ainun Najib,Ainun Najib,7
CNNIndonesia,CNNIndonesia,7
Dudy Rudianto,Dudy Rudianto,7
Partai Demokrat,Partai Demokrat,7
DPP_PKB,DPP_PKB,6
DPW PKB Jateng,DPW PKB Jateng,6
DPW PKB DKI JAKARTA,DPW PKB DKI JAKARTA,6
Sahabat Mba Nad,Sahabat Mba Nad,6
N A O L,N A O L,6
G҉O҉ ?M҉I҉L҉,G҉O҉ ?M҉I҉L҉,6
atheistan,atheistan,12
Balad AMIN Simalungun,Balad AMIN Simalungun,6
DPP_PPP,DPP_PPP,12
DivHumas_Polri,DivHumas_Polri,4
Kemhan RI,Kemhan RI,4
SOERYAW4DI,SOERYAW4DI,7
Polres Kediri,Polres Kediri,4
sarjono bregas,sarjono bregas,4
0️⃣1️⃣ANDIKA,0️⃣1️⃣ANDIKA,4
Fahrihamzah,Fahrihamzah,1
Partai Gelora Indonesia,Partai Gelora Indonesia,1
KOMPAS TV,KOMPAS TV,1
Ganjar_Mahfud,Ganjar_Mahfud,2
Noni Jovana,Noni Jovana,2
Angelica Zee,Angelica Zee,2
Gerindra,Gerindra,4
Andre Rosiade,Andre Rosiade,7
Fadiyah Alkaff,Fadiyah Alkaff,4
Romi yuli,Romi yuli,4
Negri Seterah,Negri Seterah,4
Partai Medsos,Partai Medsos,4
GreenpeaceID,GreenpeaceID,12
Greenpeace International,Greenpeace International,12
DARKIE ?? #NKRI ??,DARKIE ?? #NKRI ??,12
IDNTimes,IDNTimes,0
unilubis,unilubis,0
Jokowi,Jokowi,8
Prabowo Gibran,Prabowo Gibran,7
Kurawal Foundation,Kurawal Foundation,8
METRO TV,METRO TV,8
Kota-kota Indonesia: Pengantar untuk Orang Banyak,Kota-kota Indonesia: Pengantar untuk Orang Banyak,8
KPU_ID,KPU_ID,8
Chusnul ch?timah,Chusnul ch?timah,8
