Id,Label,modularity_class
aniesbaswedan,aniesbaswedan,9
EGI HAW,EGI HAW,14
nephilaXmus,nephilaXmus,4
Irvi Aini,Irvi Aini,1
Elisa,Elisa,9
DPP PKS,DPP PKS,9
Roy Murtadho,Roy Murtadho,14
Shinta Effendi,Shinta Effendi,9
People Power,People Power,1
Chairol Yoi,Chairol Yoi,9
Nanti Kita Sambat Tentang Hari Ini,Nanti Kita Sambat Tentang Hari Ini,9
itbyhld,itbyhld,9
Txt dari Kuliner,Txt dari Kuliner,9
Agung prihatna,Agung prihatna,9
Dosen Kesayanganmu,Dosen Kesayanganmu,1
Akbar Faizal,Akbar Faizal,9
ajengcute16,ajengcute16,9
Warih Aji Pamungkas,Warih Aji Pamungkas,14
Fandika Okdiba,Fandika Okdiba,1
Ahmad Syaikhu,Ahmad Syaikhu,9
Erasmus Napitupulu,Erasmus Napitupulu,14
Ida,Ida,9
Alanda Kariza,Alanda Kariza,9
Rendra Prasetya,Rendra Prasetya,0
Monica,Monica,1
AKBAR RIFKY,AKBAR RIFKY,9
Iqbal Farabi,Iqbal Farabi,1
Muhammad Amrullah,Muhammad Amrullah,9
MHD,MHD,9
Budi Kurniawan,Budi Kurniawan,9
LANGKAH ANIES Serius Tenang Tuntas,LANGKAH ANIES Serius Tenang Tuntas,9
Allan Nairn,Allan Nairn,14
medcom_id,medcom_id,1
Pendukung Anies,Pendukung Anies,9
SiPeNutur,SiPeNutur,9
suaradotcom,suaradotcom,1
Cecep Kholiludin,Cecep Kholiludin,9
Marlina mawar,Marlina mawar,9
AMINajadulu,AMINajadulu,9
Mc Magel,Mc Magel,9
REZIM TAMAK PASTI JATUH,REZIM TAMAK PASTI JATUH,12
Pocut Sarina Kawom,Pocut Sarina Kawom,9
Stevaniehuangg,Stevaniehuangg,9
Zzzeen,Zzzeen,9
akhmad sahal,akhmad sahal,0
Sigit D. Wisnu,Sigit D. Wisnu,9
Official NusantaraTv,Official NusantaraTv,9
Fortis Est Veritas,Fortis Est Veritas,0
Ahmad Rizky M. Umar,Ahmad Rizky M. Umar,9
Coach Axdwin Indonesia,Coach Axdwin Indonesia,9
Katadata.co.id,Katadata.co.id,1
Charles Meikyansah,Charles Meikyansah,9
Abdurrahim Arsyad,Abdurrahim Arsyad,9
Angga PF,Angga PF,9
Salim A. Fillah,Salim A. Fillah,9
Fraksi PKS DPR RI,Fraksi PKS DPR RI,9
Indonesia Lawyers Club,Indonesia Lawyers Club,14
Muhammad Said Didu,Muhammad Said Didu,1
pandawalima,pandawalima,9
DPC PKB JAKARTA SELATAN,DPC PKB JAKARTA SELATAN,9
Lambe Waras,Lambe Waras,9
