Id,Label,modularity_class;
Indonesia Pusaka,Indonesia Pusaka,10;
_TNIAL_,_TNIAL_,18;
_TNIAU,_TNIAU,18;
agusjabo333,agusjabo333,16;
DPW PRIMA JATENG,DPW PRIMA JATENG,16;
Saya Rakyat Luar Biasa,Saya Rakyat Luar Biasa,16;
aniesbaswedan,aniesbaswedan,1;
Chaves,Chaves,1;
ABR (Ali Basuki Rochmad),ABR (Ali Basuki Rochmad),1;
Mawa Kresna,Mawa Kresna,0;
Iman Sjafei,Iman Sjafei,1;
Dede Budhyarto,Dede Budhyarto,19;
iwakbandeng,iwakbandeng,1;
Borrys Hasian,Borrys Hasian,1;
Ainun Najib,Ainun Najib,13;
eldi,eldi,1;
Cipta Panca Laksana,Cipta Panca Laksana,1;
Bang Andi | Abul Muzaffar,Bang Andi | Abul Muzaffar,1;
H4th,H4th,1;
Rachland Nashidik,Rachland Nashidik,1;
Presiden Netizen,Presiden Netizen,14;
VOICE OF PKB,VOICE OF PKB,17;
Coach Axdwin Indonesia,Coach Axdwin Indonesia,1;
Humaira_balqis,Humaira_balqis,1;
PRESIDEN JENGGO,PRESIDEN JENGGO,18;
S0EY0T0,S0EY0T0,17;
Maria A. Alcaff,Maria A. Alcaff,1;
Kaka Idho,Kaka Idho,17;
Lambe Waras,Lambe Waras,17;
PRESIDEN SPANYOL,PRESIDEN SPANYOL,1;
Gilang Ahmadi,Gilang Ahmadi,1;
Lorong Waktu,Lorong Waktu,0;
DPP PKB,DPP PKB,17;
Transisi Energi Segera,Transisi Energi Segera,0;
Agus Sulardi,Agus Sulardi,1;
Nicho Silalahi,Nicho Silalahi,18;
404 Not Found,404 Not Found,1;
Idham Arsyad,Idham Arsyad,16;
Pemimpin Sipil Terkutuk,Pemimpin Sipil Terkutuk,1;
Call Me Bur,Call Me Bur,0;
King Purwa,King Purwa,1;
SENAM PAGI INDONESIA SERI D,SENAM PAGI INDONESIA SERI D,14;
Ayo Indonesia,Ayo Indonesia,1;
K-Hard Uchukz,K-Hard Uchukz,1;
LANGKAH ANIES Serius Tenang Tuntas,LANGKAH ANIES Serius Tenang Tuntas,17;
Naufal Firman Yursak,Naufal Firman Yursak,1;
Ari Saptono,Ari Saptono,1;
Ehnak,Ehnak,1;
BERITA BAIK AMIN,BERITA BAIK AMIN,1;
Arsya Muhammad,Arsya Muhammad,1;
I smile,I smile,1;
N A O L,N A O L,1;
AniesMuhaimin - AMIN RI1 & RI2 2024 INSYA ALLAH,AniesMuhaimin - AMIN RI1 & RI2 2024 INSYA ALLAH,1;
Harian Kompas,Harian Kompas,0;
Trystanto,Trystanto,1;
ABG Asal Bukan Gibran,ABG Asal Bukan Gibran,14;
Jams Ka Jrouh,Jams Ka Jrouh,1;
DPW PKB Jateng,DPW PKB Jateng,1;
Amik,Amik,1;
Afifah Afra,Afifah Afra,1;
Juan Chaniago,Juan Chaniago,0;
AntiJongosParpol?,AntiJongosParpol?,1;
ajengcute16,ajengcute16,1;
Amal Alghozali,Amal Alghozali,1;
B4 K71,B4 K71,1;
Hanum Salsabiela Rais,Hanum Salsabiela Rais,18;
AREA JULID,AREA JULID,0;
Mardani Ali Sera,Mardani Ali Sera,1;
vivere,vivere,1;
Maudy Asmara,Maudy Asmara,1;
adeamaliaade,adeamaliaade,1;
DPN BALAD AMIN,DPN BALAD AMIN,11;
Dokter Tifa,Dokter Tifa,18;
Haye Targaryen,Haye Targaryen,13;
ayahlukman,ayahlukman,1;
Grady Nagara,Grady Nagara,1;
Angga PF,Angga PF,1;
Sekar Izza,Sekar Izza,1;
