Id,Label,modularity_class;
prabowogibran02,prabowogibran02,20;
Artemizz_,Artemizz_,20;
prima_or_id,prima_or_id,16;
psi_id,psi_id,18;
ridwankamil,ridwankamil,6;
sociotalker,sociotalker,21;
Michel Adam,Michel Adam,21;
Singkong Stunting,Singkong Stunting,21;
tempodotco,tempodotco,19;
MODAR,MODAR,19;
tomlembong,tomlembong,13;
tvOneNews,tvOneNews,19;
Diandra Kartini,Diandra Kartini,19;
telek_pitik,telek_pitik,19;
yusuf_dumdum,yusuf_dumdum,19;
zainul_munas,zainul_munas,11;
zarryhendrik,zarryhendrik,13;
Firman Manda,Firman Manda,13;
