Id,Label,Cluster
AgusYudhoyono,AgusYudhoyono,2
HincaPandjaitanXIII,HincaPandjaitanXIII,2
Harian Kompas,Harian Kompas,2
Yan A. Harahap (? ? ?),Yan A. Harahap (? ? ?),2
AliLubisACTA,AliLubisACTA,2
HabiburokhmanJktTimur,HabiburokhmanJktTimur,2
AnggaPutraF,AnggaPutraF,4
Spirit FREE PALESTINE ?? ????,Spirit FREE PALESTINE ?? ????,4
eldi,eldi,4
Arie_Kriting,Arie_Kriting,5
Ismail Fahmi,Ismail Fahmi,5
ArsjadRasjid,ArsjadRasjid,1
 ????? ?????, ????? ?????,1
Rizmaya,Rizmaya,1
Prasetyo Edi Marsudi,Prasetyo Edi Marsudi,1
 ????? ????? ??? ????, ????? ????? ??? ????,1
Ganjar Pranowo,Ganjar Pranowo,1
BangPino__,BangPino__,5
BurhanMuhtadi,BurhanMuhtadi,4
Ainun Najib,Ainun Najib,4
CNNIndonesia,CNNIndonesia,2
Dudy Rudianto,Dudy Rudianto,2
Partai Demokrat,Partai Demokrat,2
DPP_PKB,DPP_PKB,0
DPW PKB Jateng,DPW PKB Jateng,0
DPW PKB DKI JAKARTA,DPW PKB DKI JAKARTA,0
Sahabat Mba Nad,Sahabat Mba Nad,0
N A O L,N A O L,0
G҉O҉ ?M҉I҉L҉,G҉O҉ ?M҉I҉L҉,0
atheistan,atheistan,0
Balad AMIN Simalungun,Balad AMIN Simalungun,0
DPP_PPP,DPP_PPP,1
DivHumas_Polri,DivHumas_Polri,3
Kemhan RI,Kemhan RI,3
SOERYAW4DI,SOERYAW4DI,3
Polres Kediri,Polres Kediri,3
sarjono bregas,sarjono bregas,3
0️⃣1️⃣ANDIKA,0️⃣1️⃣ANDIKA,3
Fahrihamzah,Fahrihamzah,10
Partai Gelora Indonesia,Partai Gelora Indonesia,10
KOMPAS TV,KOMPAS TV,10
Ganjar_Mahfud,Ganjar_Mahfud,11
Noni Jovana,Noni Jovana,11
Angelica Zee,Angelica Zee,11
Gerindra,Gerindra,3
Andre Rosiade,Andre Rosiade,2
Fadiyah Alkaff,Fadiyah Alkaff,3
Romi yuli,Romi yuli,3
Negri Seterah,Negri Seterah,3
Partai Medsos,Partai Medsos,0
GreenpeaceID,GreenpeaceID,1
Greenpeace International,Greenpeace International,1
DARKIE ?? #NKRI ??,DARKIE ?? #NKRI ??,1
IDNTimes,IDNTimes,5
unilubis,unilubis,5
Jokowi,Jokowi,2
Prabowo Gibran,Prabowo Gibran,2
Kurawal Foundation,Kurawal Foundation,2
METRO TV,METRO TV,2
Kota-kota Indonesia: Pengantar untuk Orang Banyak,Kota-kota Indonesia: Pengantar untuk Orang Banyak,1
KPU_ID,KPU_ID,5
Chusnul ch?timah,Chusnul ch?timah,5
Aria Bima,Aria Bima,5
andiebs?,andiebs?,5
guru SMK,guru SMK,5
GVM,GVM,5
Greenpeace Indonesia,Greenpeace Indonesia,5
Kemhan_RI,Kemhan_RI,3
Laksmi,Laksmi,2
KompasData,KompasData,1
Kompas Data,Kompas Data,1
Kompas Muda,Kompas Muda,1
KompasTV,KompasTV,2
1 Juta Kentongan Perubahan,1 Juta Kentongan Perubahan,2
ListyoSigitP,ListyoSigitP,3
Abdu_rahman,Abdu_rahman,0
MIrvanDarwin1,MIrvanDarwin1,3
️️️️ ️️️️️️️️,️️️️ ️️️️️️️️,3
MariaAlcaff,MariaAlcaff,0
M.elbanan,M.elbanan,0
TEH TJEMPLUNG,TEH TJEMPLUNG,0
Mdy_Asmara1701,Mdy_Asmara1701,0
ProjectGenX,ProjectGenX,0
Metro_TV,Metro_TV,2
Maudy Asmara,Maudy Asmara,0
MorphoMenelausX,MorphoMenelausX,3
