Id,Label,modularity_class
?. ??????? ♂️,?. ??????? ♂️,18
DELIN,DELIN,18
BC4LIFE,BC4LIFE,18
samsudin ali,samsudin ali,18
MASINTON PASARIBU,MASINTON PASARIBU,18
Prastowo Yustinus,Prastowo Yustinus,18
Stella K. Suwardi,Stella K. Suwardi,18
Murtadha,Murtadha,18
Ibdilillah Ishak,Ibdilillah Ishak,18
rehan,rehan,18
Supariyanto,Supariyanto,18
‌?‌‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌‌?‌‌?‌,‌?‌‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌ ‌?‌‌?‌‌?‌‌?‌‌?‌,18
Leo,Leo,18
Hidri Rafeimalik,Hidri Rafeimalik,18
Singgih Dwi Putranto❤?,Singgih Dwi Putranto❤?,18
Bapake Rumi,Bapake Rumi,18
apaan neh,apaan neh,18
arie busan,arie busan,18
Tukang Push,Tukang Push,18
money,money,18
BARIKADE GUS DUR,BARIKADE GUS DUR,18
BAJINGAN TOLOL ??,BAJINGAN TOLOL ??,18
tuanku Rakyat,tuanku Rakyat,18
Kyoko Hisashi (野馬利阿),Kyoko Hisashi (野馬利阿),18
Laskar Tugiman??,Laskar Tugiman??,18
1.2.3.packs,1.2.3.packs,18
Davaryan,Davaryan,18
VICTOR S NIHIN,VICTOR S NIHIN,18
GP-MMD 2024???,GP-MMD 2024???,19
msaid_didu,msaid_didu,0
ADHIE M MASSARDI,ADHIE M MASSARDI,0
"#AyoMoveOn2024","#AyoMoveOn2024",0
candece,candece,19
ninikwafiroh,ninikwafiroh,14
officialptdi,officialptdi,3
prabowo,prabowo,17
Sabda Alam,Sabda Alam,17
Indonesian Embassy Bandar Seri Begawan,Indonesian Embassy Bandar Seri Begawan,17
Manda Azkia,Manda Azkia,17
??? ??? ?????,??? ??? ?????,17
tempo.co,tempo.co,17
Lhuta_x,Lhuta_x,17
eat!,eat!,17
Lebah Borneo Reborn,Lebah Borneo Reborn,17
zy_lestari,zy_lestari,17
key,key,17
Jansen Sitindaon,Jansen Sitindaon,17
Erick Thohir,Erick Thohir,17
"#RakyatAkalSehat","#RakyatAkalSehat",17
Herzaky Mahendra Putra,Herzaky Mahendra Putra,17
Ariza Patria,Ariza Patria,17
:),:),17
Dalang Rusuh,Dalang Rusuh,17
222 Mountains For Palestine,222 Mountains For Palestine,17
prabowoTranslat,prabowoTranslat,19
CONIL®??,CONIL®??,19
prabowogibran02,prabowogibran02,17
Artemizz_,Artemizz_,17
prima_or_id,prima_or_id,17
psi_id,psi_id,19
ridwankamil,ridwankamil,19
sociotalker,sociotalker,20
Michel Adam,Michel Adam,20
Singkong Stunting ?,Singkong Stunting ?,20
tempodotco,tempodotco,18
"?? MODAR, i ??","?? MODAR, i ??",18
tomlembong,tomlembong,1
tvOneNews,tvOneNews,18
❤️Diandra Kartini❤️????,❤️Diandra Kartini❤️????,18
telek_pitik,telek_pitik,18
yusuf_dumdum,yusuf_dumdum,18
zainul_munas,zainul_munas,12
zarryhendrik,zarryhendrik,1
Firman Manda,Firman Manda,1
