Id,Label,modularity_class
YouTube,YouTube,8
YgPentingKamuBahagia,YgPentingKamuBahagia,8
ZhangKu,ZhangKu,8
Nur Hidayat Sardini,Nur Hidayat Sardini,8
TribunBanten.com,TribunBanten.com,8
Indra Charismiadji,Indra Charismiadji,8
ZUL_Hasan,ZUL_Hasan,9
DPP PAN,DPP PAN,9
Indonesia Pusaka ??????????,Indonesia Pusaka ??????????,9
_TNIAL_,_TNIAL_,3
_TNIAU,_TNIAU,3
agusjabo333,agusjabo333,17
DPW PRIMA JATENG,DPW PRIMA JATENG,17
Saya Rakyat Luar Biasa,Saya Rakyat Luar Biasa,17
aniesbaswedan,aniesbaswedan,13
Chaves,Chaves,13
b i l i ?,b i l i ?,13
ABR (Ali Basuki Rochmad),ABR (Ali Basuki Rochmad),13
Mawa Kresna ?,Mawa Kresna ?,17
Iman Sjafei ?,Iman Sjafei ?,13
Dede Budhyarto,Dede Budhyarto,18
iwakbandeng,iwakbandeng,13
Borrys Hasian,Borrys Hasian,13
Ainun Najib,Ainun Najib,1
eldi,eldi,13
Cipta Panca Laksana,Cipta Panca Laksana,13
Bang Andi | Abul Muzaffar,Bang Andi | Abul Muzaffar,13
H4th,H4th,13
Rachland Nashidik,Rachland Nashidik,13
Presiden Netizen,Presiden Netizen,0
VOICE OF PKB,VOICE OF PKB,14
Coach Axdwin?Indonesia ??,Coach Axdwin?Indonesia ??,13
Humaira_balqis,Humaira_balqis,13
0️⃣1️⃣PRESIDEN JENGGO,0️⃣1️⃣PRESIDEN JENGGO,19
S0EY0T0,S0EY0T0,14
Maria A. Alcaff,Maria A. Alcaff,13
Kaka Idho ?,Kaka Idho ?,14
RKY {RicKY Kurniawan} .S14P Perubahan & Perbaikan,RKY {RicKY Kurniawan} .S14P Perubahan & Perbaikan,13
Lambe Waras,Lambe Waras,17
PRESIDEN SPANYOL????????,PRESIDEN SPANYOL????????,13
Gilang Ahmadi,Gilang Ahmadi,13
Lorong Waktu,Lorong Waktu,17
DPP PKB,DPP PKB,14
Transisi Energi Segera,Transisi Energi Segera,17
Agus Sulardi,Agus Sulardi,13
Nicho Silalahi,Nicho Silalahi,19
404 Not Found,404 Not Found,13
Idham Arsyad,Idham Arsyad,17
Pemimpin Sipil Terkutuk,Pemimpin Sipil Terkutuk,13
Call Me : Bur ?,Call Me : Bur ?,13
King Purwa,King Purwa,13
SENAM PAGI INDONESIA SERI D,SENAM PAGI INDONESIA SERI D,0
Ayo Indonesia,Ayo Indonesia,13
K-Hard Uchukz,K-Hard Uchukz,13
LANGKAH ANIES Serius Tenang Tuntas,LANGKAH ANIES Serius Tenang Tuntas,14
Naufal Firman Yursak,Naufal Firman Yursak,13
Ari Saptono,Ari Saptono,13
Ehnak,Ehnak,13
BERITA BAIK AMIN,BERITA BAIK AMIN,13
Arsya Muhammad,Arsya Muhammad,13
?? I-smile ??,?? I-smile ??,13
N A O L,N A O L,13
AniesMuhaimin - AMIN RI1 & RI2 2024 INSYA ALLAH,AniesMuhaimin - AMIN RI1 & RI2 2024 INSYA ALLAH,13
? ? $BTC ?❤️,? ? $BTC ?❤️,13
Harian Kompas,Harian Kompas,17
Trystanto,Trystanto,13
"#ABG Asal-Bukan-Gibran?","#ABG Asal-Bukan-Gibran?",0
Jam's Ka Jrouh,Jam's Ka Jrouh,13
DPW PKB Jateng,DPW PKB Jateng,13
Amik,Amik,13
Afifah Afra,Afifah Afra,13
Juan Chaniago,Juan Chaniago,17
AntiJongosParpol?,AntiJongosParpol?,13
ajengcute16,ajengcute16,13
???????????_☝?,???????????_☝?,13
Amal Alghozali,Amal Alghozali,13
B4 K71,B4 K71,13
Hanum Salsabiela Rais,Hanum Salsabiela Rais,19
AREA JULID,AREA JULID,17
Mardani Ali Sera,Mardani Ali Sera,13
vivere,vivere,13
Maudy Asmara,Maudy Asmara,13
adeamaliaade,adeamaliaade,13
? ??? | ?? ????? ???????,? ??? | ?? ????? ???????,17
DPN BALAD AMIN,DPN BALAD AMIN,12
Dokter Tifa,Dokter Tifa,19
Haye Targaryen,Haye Targaryen,1
ayahlukman,ayahlukman,13
Grady Nagara,Grady Nagara,13
Angga PF,Angga PF,13
Sekar Izza,Sekar Izza,13
"#99","#99",13
Bijak Memilih,Bijak Memilih,17
BP™,BP™,19
t°Jabar,t°Jabar,13
Partai NasDem,Partai NasDem,13
inilahcom,inilahcom,17
Marlina ▪︎ mawar ?,Marlina ▪︎ mawar ?,13
Jamaruddin Pajjala,Jamaruddin Pajjala,13
Merry Banunaek,Merry Banunaek,13
b i l i,b i l i,13
Neo Historia Indonesia,Neo Historia Indonesia,17
macanutara_,macanutara_,13
Relawan Payung Anies Indonesia,Relawan Payung Anies Indonesia,13
MissKoraL? SA ID 0000009,MissKoraL? SA ID 0000009,13
